Source,Destination,Airline,Predicted_Price,Departure_Date,Arrival_Time,Total_Stops,Duration,Class
Delhi,Cochin,Jet Airways,"4,606.92",2019-06-06,04:25,1,10h 55m,No info
Kolkata,Banglore,IndiGo,"5,432.65",2019-05-12,10:20,1,4h,No info
Delhi,Cochin,Jet Airways,"4,962.52",2019-05-21,19:00,1,23h 45m,In-flight meal not included
Delhi,Cochin,Multiple carriers,"5,898.48",2019-05-21,21:00,1,13h,No info
Banglore,Delhi,Air Asia,"5,486.12",2019-06-24,02:45,0,2h 50m,No info
Delhi,Cochin,Jet Airways,"4,606.92",2019-06-12,12:35,1,18h 20m,In-flight meal not included
Banglore,New Delhi,Air India,"4,606.92",2019-03-12,22:35,1,15h 5m,No info
Kolkata,Banglore,IndiGo,"4,734.98",2019-05-01,20:30,1,5h 15m,No info
Kolkata,Banglore,IndiGo,"5,486.12",2019-03-15,12:55,0,2h 45m,No info
Kolkata,Banglore,Jet Airways,"4,606.92",2019-05-18,22:35,1,6h 5m,No info
Delhi,Cochin,Jet Airways,"4,606.92",2019-03-21,18:50,2,28h 55m,In-flight meal not included
Delhi,Cochin,IndiGo,"4,606.92",2019-06-15,16:10,1,9h 20m,No info
Delhi,Cochin,Multiple carriers,"5,309.30",2019-05-15,19:15,1,10h 15m,No info
Banglore,New Delhi,Jet Airways,"4,606.92",2019-03-12,10:25,1,4h 40m,No info
Delhi,Cochin,Jet Airways,"4,606.92",2019-06-03,12:35,1,17h 20m,In-flight meal not included
Banglore,New Delhi,Jet Airways,"4,606.92",2019-03-06,08:15,1,10h 50m,No info
Delhi,Cochin,Multiple carriers,"4,606.92",2019-06-06,22:30,1,9h 15m,No info
Kolkata,Banglore,Vistara,"4,606.92",2019-03-24,22:10,1,12h 15m,No info
Delhi,Cochin,Jet Airways,"4,606.92",2019-06-12,04:25,1,9h 10m,In-flight meal not included
Banglore,New Delhi,Jet Airways,"4,606.92",2019-03-12,08:15,1,9h 20m,No info
Delhi,Cochin,IndiGo,"4,437.83",2019-03-06,01:35,1,14h 50m,No info
Kolkata,Banglore,Jet Airways,"5,309.30",2019-05-09,10:05,1,14h 5m,In-flight meal not included
Banglore,New Delhi,Jet Airways,"4,962.52",2019-03-18,09:00,1,11h 35m,In-flight meal not included
Delhi,Cochin,Jet Airways,"4,962.52",2019-05-09,19:00,2,13h 30m,In-flight meal not included
Banglore,Delhi,Air India,"5,486.12",2019-04-06,23:55,0,2h 50m,No info
Delhi,Cochin,Jet Airways,"5,309.30",2019-03-21,04:25,1,12h 25m,In-flight meal not included
Kolkata,Banglore,IndiGo,"5,486.12",2019-05-15,17:45,0,2h 30m,No info
Delhi,Cochin,Jet Airways,"4,962.52",2019-05-21,19:00,1,25h 30m,No info
Delhi,Cochin,Jet Airways,"5,309.30",2019-06-06,04:25,1,19h 25m,In-flight meal not included
Delhi,Cochin,Multiple carriers,"6,366.60",2019-06-01,21:00,1,7h,No info
Kolkata,Banglore,Air Asia,"5,382.22",2019-03-03,01:20,0,2h 30m,No info
Delhi,Cochin,Multiple carriers,"4,437.83",2019-03-27,01:35,1,11h 40m,No info
Delhi,Cochin,Jet Airways,"4,606.92",2019-06-15,12:35,2,7h 5m,No info
Banglore,Delhi,Jet Airways,"5,592.62",2019-06-12,22:50,0,3h,No info
Mumbai,Hyderabad,Jet Airways,"5,465.04",2019-03-15,08:35,0,1h 25m,In-flight meal not included
Banglore,Delhi,SpiceJet,"5,486.12",2019-06-15,08:35,0,2h 40m,No check-in baggage included
Mumbai,Hyderabad,Jet Airways,"5,465.04",2019-03-18,08:35,0,1h 25m,No info
Banglore,New Delhi,Jet Airways,"4,962.52",2019-03-06,23:00,1,6h 5m,No info
Kolkata,Banglore,Jet Airways,"4,962.52",2019-05-09,12:00,1,17h 5m,In-flight meal not included
Delhi,Cochin,Multiple carriers,"4,962.52",2019-05-15,21:00,1,10h 40m,No info
Kolkata,Banglore,SpiceJet,"5,486.12",2019-05-12,19:40,0,2h 30m,No info
Delhi,Cochin,Multiple carriers,"5,197.27",2019-05-15,01:30,1,12h 30m,No info
Mumbai,Hyderabad,SpiceJet,"6,222.94",2019-06-09,00:15,0,1h 30m,No info
Delhi,Cochin,Air India,"5,309.30",2019-06-15,07:40,1,23h 40m,No info
Kolkata,Banglore,IndiGo,"5,494.20",2019-05-01,02:15,1,5h 15m,No info
Chennai,Kolkata,SpiceJet,"5,486.12",2019-03-24,20:05,0,2h 20m,No check-in baggage included
Delhi,Cochin,Jet Airways,"4,606.92",2019-03-03,18:50,1,23h 35m,No info
Mumbai,Hyderabad,Air India,"5,465.04",2019-05-03,15:25,0,1h 30m,No info
Kolkata,Banglore,Jet Airways,"4,734.98",2019-04-01,22:35,1,27h 40m,No info
Delhi,Cochin,Multiple carriers,"4,962.52",2019-06-03,21:00,1,13h 30m,No info
Kolkata,Banglore,Air India,"4,606.92",2019-05-12,13:45,2,28h 20m,No info
Kolkata,Banglore,Jet Airways,"4,734.98",2019-04-01,19:50,1,5h 45m,In-flight meal not included
Kolkata,Banglore,Jet Airways,"4,606.92",2019-03-24,16:20,1,26h 25m,No info
Banglore,New Delhi,Jet Airways,"4,606.92",2019-03-18,11:25,1,5h 40m,No info
Chennai,Kolkata,SpiceJet,"5,674.82",2019-06-18,12:00,0,2h 15m,No info
Banglore,Delhi,Jet Airways,"5,486.12",2019-04-15,18:10,0,2h 55m,No info
Delhi,Cochin,IndiGo,"5,292.05",2019-05-18,07:45,1,5h 45m,No info
Banglore,New Delhi,Jet Airways,"4,606.92",2019-03-21,19:10,1,7h 30m,In-flight meal not included
Delhi,Cochin,IndiGo,"4,606.92",2019-06-09,12:10,1,5h 20m,No info
Kolkata,Banglore,Vistara,"5,309.30",2019-05-06,18:50,1,25h 50m,No info
Delhi,Cochin,Multiple carriers,"5,309.30",2019-06-12,19:15,1,13h 15m,No info
Delhi,Cochin,Air India,"4,606.92",2019-03-09,09:25,2,26h 20m,No info
Delhi,Cochin,IndiGo,"5,292.05",2019-04-03,07:45,1,5h 45m,No info
Delhi,Cochin,Air Asia,"4,606.92",2019-06-27,22:25,1,5h 40m,No info
Banglore,New Delhi,Vistara Premium economy,"5,486.12",2019-03-24,22:20,0,2h 40m,No info
Banglore,Delhi,IndiGo,"6,188.50",2019-05-09,15:50,0,2h 50m,No info
Delhi,Cochin,IndiGo,"5,292.05",2019-06-06,07:25,1,5h 25m,No info
Delhi,Cochin,Multiple carriers,"4,606.92",2019-06-15,12:35,1,8h 45m,No info
Banglore,Delhi,IndiGo,"6,247.50",2019-06-12,00:15,0,3h,No info
Delhi,Cochin,Jet Airways,"4,606.92",2019-03-21,18:50,1,7h 20m,In-flight meal not included
Mumbai,Hyderabad,IndiGo,"6,659.74",2019-06-18,13:30,0,1h 30m,No info
Delhi,Cochin,Jet Airways,"4,962.52",2019-05-18,19:00,1,21h 10m,In-flight meal not included
Kolkata,Banglore,Air India,"6,489.77",2019-04-01,21:50,3,16h,No info
Delhi,Cochin,Air Asia,"4,606.92",2019-05-15,15:45,1,7h 50m,No info
Mumbai,Hyderabad,IndiGo,"5,465.04",2019-05-18,10:40,0,1h 30m,No info
Banglore,Delhi,Jet Airways,"5,592.62",2019-05-21,11:20,0,3h,In-flight meal not included
Banglore,Delhi,SpiceJet,"5,486.12",2019-06-21,12:20,0,2h 50m,No check-in baggage included
Kolkata,Banglore,Air India,"5,494.20",2019-05-01,05:25,2,19h 25m,No info
Delhi,Cochin,Vistara,"5,486.12",2019-03-03,17:50,0,2h 55m,No info
Kolkata,Banglore,Jet Airways,"5,309.30",2019-05-18,10:05,1,14h 5m,No info
Banglore,Delhi,IndiGo,"5,596.16",2019-06-24,01:00,0,2h 50m,No info
Kolkata,Banglore,Vistara,"5,309.30",2019-06-09,09:05,1,16h 5m,No info
Delhi,Cochin,GoAir,"5,309.30",2019-05-18,12:55,1,5h 55m,No info
Kolkata,Banglore,Air Asia,"5,486.12",2019-04-21,22:25,0,2h 30m,No info
Delhi,Cochin,Multiple carriers,"4,437.83",2019-05-09,01:30,1,10h 15m,No info
Delhi,Cochin,Multiple carriers,"4,437.83",2019-05-15,01:30,1,13h 50m,No info
Chennai,Kolkata,SpiceJet,"5,486.12",2019-03-21,10:35,0,2h 15m,No info
Delhi,Cochin,Jet Airways,"4,962.52",2019-06-15,19:00,1,11h 55m,In-flight meal not included
Kolkata,Banglore,SpiceJet,"5,486.12",2019-04-18,19:40,0,2h 30m,No check-in baggage included
